title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,6,6,green,1,860,us,173,0.907,36.0,mww,32.571,54.3844,-160.699,"Sand Point, Alaska",,
M 7.3 - Alaska Peninsula,7.3,0,5,,1,820,at,79,0.879451,172.8,Mi,21.0,54.49,-160.796,Alaska Peninsula,,
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,5,4,green,1,802,us,95,2.454,37.0,mww,10.0,20.0196,-61.0955,"Codrington, Antigua and Barbuda",,
M 6.9 - Tonga,6.9,4,4,green,1,741,us,136,1.179,23.0,mww,229.0,-17.853,-174.937,Tonga,,
M 7.2 - south of the Fiji Islands,7.2,8,6,green,1,804,us,85,2.59,24.0,mww,167.404,-22.9824,-177.208,the Fiji Islands,,
M 6.6 - Panama-Colombia border region,6.6,6,6,green,1,733,us,50,2.163,129.0,mww,10.0,8.8894,-77.1231,Panama-Colombia border region,,Colombia
M 7.1 - southeast of the Loyalty Islands,7.1,3,4,green,1,777,us,98,2.812,56.0,mww,35.981,-23.0622,170.456,the Loyalty Islands,,
M 7.7 - southeast of the Loyalty Islands,7.7,5,4,green,1,927,us,277,3.111,15.0,mww,18.027,-23.2286,170.694,the Loyalty Islands,,
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,8,6,green,1,907,us,111,3.631,17.0,mww,210.097,-15.6002,-174.608,"Hihifo, Tonga",,
"M 7.1 - Kermadec Islands, New Zealand",7.1,8,7,green,1,777,us,126,0.708,23.0,mww,43.063,-30.0249,-177.897,"Kermadec Islands, New Zealand",,
M 6.7 - south of the Fiji Islands,6.7,0,3,green,1,691,us,166,4.719,10.0,mww,595.854,-22.2844,179.391,the Fiji Islands,,
"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,7,6,yellow,1,655,us,104,0.266,30.0,mww,105.631,52.7772,158.484,"the Kamchatka Peninsula, Russia",Asia,Russian Federation (the)
"M 7.0 - New Guinea, Papua New Guinea",7.0,7,7,green,1,781,us,105,6.45,31.0,mww,62.603,-4.2924,143.155,"New Guinea, Papua New Guinea",Asia,Papua New Guinea
M 6.8 - near the coast of Ecuador,6.8,9,7,orange,1,1159,us,152,0.709,28.0,mww,65.842,-2.851,-79.8001,Ecuador,South America,Ecuador
M 7.0 - Kermadec Islands region,7.0,8,5,green,1,756,us,116,1.789,22.0,mww,22.065,-30.1147,-176.112,Kermadec Islands region,,
"M 6.9 - Kermadec Islands, New Zealand",6.9,5,5,green,1,735,us,108,0.784,18.0,mww,205.681,-29.4748,-178.787,"Kermadec Islands, New Zealand",,
"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,7,6,green,1,653,us,66,5.483,45.0,mww,10.0,-15.3597,166.385,"Port-Olry, Vanuatu",,
"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,4,2,green,1,652,us,115,2.739,20.0,mww,598.925,-4.8138,149.487,"Kimbe, Papua New Guinea",,Papua New Guinea
"M 7.0 - 153 km NW of Tobelo, Indonesia",7.0,3,5,green,1,756,us,130,1.974,17.0,mwc,28.566,2.7401,127.051,"Tobelo, Indonesia",,Indonesia
